question,answer
"t0:0.0, p0:36.44, v0:-0.92.2.0? ",34.5
"t0:0.0, p0:14.55, v0:0.94.2.0? ",16.33
"t0:0.0, p0:4.4, v0:0.53.2.0? ",5.36
"t0:0.0, p0:28.85, v0:-0.07.2.0? ",28.61
"t0:0.0, p0:71.59, v0:0.36.2.0? ",72.21
"t0:0.0, p0:18.6, v0:-0.72.2.0? ",17.06
"t0:0.0, p0:96.07, v0:0.56.2.0? ",97.09
"t0:0.0, p0:73.41, v0:-0.78.2.0? ",71.75
"t0:0.0, p0:4.4, v0:-0.62.2.0? ",3.06
"t0:0.0, p0:16.8, v0:-0.94.2.0? ",14.82
"t0:0.0, p0:61.52, v0:0.7.2.0? ",62.82
"t0:0.0, p0:39.09, v0:-0.72.2.0? ",37.55
"t0:0.0, p0:60.84, v0:-0.69.2.0? ",59.36
"t0:0.0, p0:21.68, v0:0.6.2.0? ",22.78
"t0:0.0, p0:83.86, v0:0.32.2.0? ",84.4
"t0:0.0, p0:46.59, v0:-0.12.2.0? ",46.25
"t0:0.0, p0:42.96, v0:-0.11.2.0? ",42.64
"t0:0.0, p0:18.53, v0:-0.8.2.0? ",16.83
"t0:0.0, p0:95.2, v0:-0.08.2.0? ",94.94
"t0:0.0, p0:25.96, v0:0.38.2.0? ",26.62
"t0:0.0, p0:3.21, v0:0.19.2.0? ",3.49
"t0:0.0, p0:94.03, v0:-0.31.2.0? ",93.31
"t0:0.0, p0:69.31, v0:0.47.2.0? ",70.15
"t0:0.0, p0:47.76, v0:0.88.2.0? ",49.42
"t0:0.0, p0:83.15, v0:0.17.2.0? ",83.39
"t0:0.0, p0:43.61, v0:0.42.2.0? ",44.35
"t0:0.0, p0:76.53, v0:-0.03.2.0? ",76.37
"t0:0.0, p0:23.11, v0:0.87.2.0? ",24.75
"t0:0.0, p0:24.96, v0:0.1.2.0? ",25.06
"t0:0.0, p0:38.34, v0:-0.37.2.0? ",37.5
"t0:0.0, p0:77.31, v0:0.7.2.0? ",78.61
"t0:0.0, p0:56.87, v0:0.57.2.0? ",57.91
"t0:0.0, p0:26.19, v0:0.57.2.0? ",27.23
"t0:0.0, p0:95.48, v0:0.12.2.0? ",95.62
"t0:0.0, p0:19.27, v0:0.64.2.0? ",20.45
"t0:0.0, p0:9.98, v0:0.67.2.0? ",11.22
"t0:0.0, p0:28.88, v0:-0.36.2.0? ",28.06
"t0:0.0, p0:46.77, v0:0.55.2.0? ",47.77
"t0:0.0, p0:1.34, v0:0.69.2.0? ",2.62
"t0:0.0, p0:10.52, v0:0.74.2.0? ",11.9
"t0:0.0, p0:23.45, v0:0.48.2.0? ",24.31
"t0:0.0, p0:63.47, v0:-0.29.2.0? ",62.79
"t0:0.0, p0:63.94, v0:-0.37.2.0? ",63.1
"t0:0.0, p0:51.98, v0:-0.82.2.0? ",50.24
"t0:0.0, p0:58.2, v0:-0.98.2.0? ",56.14
"t0:0.0, p0:60.22, v0:-0.66.2.0? ",58.8
"t0:0.0, p0:11.87, v0:-0.77.2.0? ",10.23
"t0:0.0, p0:90.63, v0:0.87.2.0? ",92.27
"t0:0.0, p0:6.37, v0:0.91.2.0? ",8.09
"t0:0.0, p0:66.61, v0:-0.43.2.0? ",65.65
"t0:0.0, p0:99.33, v0:-0.27.2.0? ",98.69
"t0:0.0, p0:38.93, v0:0.09.2.0? ",39.01
"t0:0.0, p0:66.28, v0:-0.17.2.0? ",65.84
"t0:0.0, p0:0.45, v0:0.57.2.0? ",1.49
"t0:0.0, p0:72.42, v0:0.15.2.0? ",72.62
"t0:0.0, p0:56.02, v0:0.48.2.0? ",56.88
"t0:0.0, p0:29.36, v0:-0.75.2.0? ",27.76
"t0:0.0, p0:25.76, v0:0.61.2.0? ",26.88
"t0:0.0, p0:83.53, v0:0.78.2.0? ",84.99
"t0:0.0, p0:50.76, v0:0.87.2.0? ",52.4
"t0:0.0, p0:68.2, v0:-0.71.2.0? ",66.68
"t0:0.0, p0:79.63, v0:-0.65.2.0? ",78.23
"t0:0.0, p0:97.21, v0:-0.48.2.0? ",96.15
"t0:0.0, p0:54.93, v0:0.13.2.0? ",55.09
"t0:0.0, p0:49.77, v0:-0.27.2.0? ",49.13
"t0:0.0, p0:28.59, v0:0.08.2.0? ",28.65
"t0:0.0, p0:34.91, v0:0.7.2.0? ",36.21
"t0:0.0, p0:39.86, v0:0.49.2.0? ",40.74
"t0:0.0, p0:96.77, v0:0.68.2.0? ",98.03
"t0:0.0, p0:63.55, v0:0.43.2.0? ",64.31
"t0:0.0, p0:8.34, v0:-0.51.2.0? ",7.22
"t0:0.0, p0:24.48, v0:-0.46.2.0? ",23.46
"t0:0.0, p0:72.05, v0:0.54.2.0? ",73.03
"t0:0.0, p0:37.94, v0:-0.07.2.0? ",37.7
"t0:0.0, p0:96.88, v0:0.91.2.0? ",98.6
"t0:0.0, p0:4.71, v0:-0.24.2.0? ",4.13
"t0:0.0, p0:87.29, v0:-0.17.2.0? ",86.85
"t0:0.0, p0:57.79, v0:0.08.2.0? ",57.85
"t0:0.0, p0:66.72, v0:-0.28.2.0? ",66.06
"t0:0.0, p0:57.18, v0:0.88.2.0? ",58.84
"t0:0.0, p0:52.95, v0:0.06.2.0? ",52.97
"t0:0.0, p0:72.12, v0:-0.21.2.0? ",71.6
"t0:0.0, p0:20.79, v0:0.16.2.0? ",21.01
"t0:0.0, p0:68.36, v0:-0.62.2.0? ",67.02
"t0:0.0, p0:35.08, v0:0.86.2.0? ",36.7
"t0:0.0, p0:52.98, v0:0.4.2.0? ",53.68
"t0:0.0, p0:95.77, v0:0.05.2.0? ",95.77
"t0:0.0, p0:31.42, v0:-0.24.2.0? ",30.84
"t0:0.0, p0:39.36, v0:0.79.2.0? ",40.84
"t0:0.0, p0:2.39, v0:0.98.2.0? ",4.25
"t0:0.0, p0:2.62, v0:0.24.2.0? ",3.0
"t0:0.0, p0:48.79, v0:-0.52.2.0? ",47.65
"t0:0.0, p0:22.05, v0:-0.45.2.0? ",21.05
"t0:0.0, p0:36.76, v0:0.63.2.0? ",37.92
"t0:0.0, p0:56.92, v0:0.6.2.0? ",58.02
"t0:0.0, p0:7.04, v0:0.92.2.0? ",8.78
"t0:0.0, p0:11.21, v0:0.68.2.0? ",12.47
"t0:0.0, p0:47.68, v0:-0.52.2.0? ",46.54
"t0:0.0, p0:22.16, v0:-0.05.2.0? ",21.96
"t0:0.0, p0:17.32, v0:-0.67.2.0? ",15.88
"t0:0.0, p0:36.95, v0:0.86.2.0? ",38.57
"t0:0.0, p0:41.24, v0:0.99.2.0? ",43.12
"t0:0.0, p0:3.42, v0:0.86.2.0? ",5.04
"t0:0.0, p0:59.26, v0:-0.04.2.0? ",59.08
"t0:0.0, p0:14.58, v0:0.1.2.0? ",14.68
"t0:0.0, p0:86.68, v0:0.58.2.0? ",87.74
"t0:0.0, p0:39.59, v0:0.1.2.0? ",39.69
"t0:0.0, p0:68.17, v0:0.75.2.0? ",69.57
"t0:0.0, p0:55.92, v0:0.22.2.0? ",56.26
"t0:0.0, p0:42.69, v0:0.42.2.0? ",43.43
"t0:0.0, p0:11.83, v0:-0.93.2.0? ",9.87
"t0:0.0, p0:66.34, v0:-0.81.2.0? ",64.62
"t0:0.0, p0:95.06, v0:-0.53.2.0? ",93.9
"t0:0.0, p0:26.96, v0:0.16.2.0? ",27.18
"t0:0.0, p0:52.54, v0:0.95.2.0? ",54.34
"t0:0.0, p0:15.74, v0:0.53.2.0? ",16.7
"t0:0.0, p0:13.29, v0:-0.48.2.0? ",12.23
"t0:0.0, p0:62.52, v0:0.59.2.0? ",63.6
"t0:0.0, p0:72.73, v0:-0.82.2.0? ",70.99
"t0:0.0, p0:75.46, v0:0.76.2.0? ",76.88
"t0:0.0, p0:96.02, v0:-0.66.2.0? ",94.6
"t0:0.0, p0:33.8, v0:-0.48.2.0? ",32.74
"t0:0.0, p0:12.65, v0:0.61.2.0? ",13.77
"t0:0.0, p0:31.6, v0:0.61.2.0? ",32.72
"t0:0.0, p0:30.91, v0:-0.26.2.0? ",30.29
"t0:0.0, p0:33.22, v0:0.51.2.0? ",34.14
"t0:0.0, p0:79.3, v0:0.54.2.0? ",80.28
"t0:0.0, p0:56.96, v0:-0.19.2.0? ",56.48
"t0:0.0, p0:89.42, v0:-0.8.2.0? ",87.72
"t0:0.0, p0:9.95, v0:0.42.2.0? ",10.69
"t0:0.0, p0:71.37, v0:-0.48.2.0? ",70.31
"t0:0.0, p0:66.11, v0:-0.06.2.0? ",65.89
"t0:0.0, p0:46.43, v0:0.77.2.0? ",47.87
"t0:0.0, p0:59.53, v0:0.27.2.0? ",59.97
"t0:0.0, p0:76.61, v0:-0.46.2.0? ",75.59
"t0:0.0, p0:82.53, v0:0.62.2.0? ",83.67
"t0:0.0, p0:47.53, v0:-0.65.2.0? ",46.13
"t0:0.0, p0:24.59, v0:-0.4.2.0? ",23.69
"t0:0.0, p0:90.36, v0:-0.37.2.0? ",89.52
"t0:0.0, p0:78.7, v0:0.21.2.0? ",79.02
"t0:0.0, p0:84.67, v0:0.15.2.0? ",84.87
"t0:0.0, p0:36.71, v0:-0.26.2.0? ",36.09
"t0:0.0, p0:36.25, v0:0.71.2.0? ",37.57
"t0:0.0, p0:11.88, v0:-0.7.2.0? ",10.38
"t0:0.0, p0:16.29, v0:0.96.2.0? ",18.11
"t0:0.0, p0:28.95, v0:-0.06.2.0? ",28.73
"t0:0.0, p0:14.94, v0:-0.54.2.0? ",13.76
"t0:0.0, p0:46.23, v0:-0.59.2.0? ",44.95
"t0:0.0, p0:31.65, v0:0.66.2.0? ",32.87
"t0:0.0, p0:5.22, v0:-0.31.2.0? ",4.5
"t0:0.0, p0:78.29, v0:0.39.2.0? ",78.97
"t0:0.0, p0:20.54, v0:0.63.2.0? ",21.7
"t0:0.0, p0:44.21, v0:-0.58.2.0? ",42.95
"t0:0.0, p0:27.08, v0:-0.22.2.0? ",26.54
"t0:0.0, p0:24.04, v0:0.5.2.0? ",24.94
"t0:0.0, p0:62.79, v0:0.92.2.0? ",64.53
"t0:0.0, p0:37.3, v0:0.65.2.0? ",38.5
"t0:0.0, p0:88.97, v0:-0.23.2.0? ",88.41
"t0:0.0, p0:38.75, v0:0.3.2.0? ",39.25
"t0:0.0, p0:0.17, v0:-0.14.2.0? ",0.0
"t0:0.0, p0:49.78, v0:0.19.2.0? ",50.06
"t0:0.0, p0:10.75, v0:-0.72.2.0? ",9.21
"t0:0.0, p0:88.84, v0:0.24.2.0? ",89.22
"t0:0.0, p0:32.98, v0:0.02.2.0? ",32.92
"t0:0.0, p0:56.4, v0:-0.57.2.0? ",55.16
"t0:0.0, p0:72.97, v0:0.6.2.0? ",74.07
"t0:0.0, p0:44.28, v0:-0.03.2.0? ",44.12
"t0:0.0, p0:45.57, v0:0.35.2.0? ",46.17
"t0:0.0, p0:22.67, v0:-0.48.2.0? ",21.61
"t0:0.0, p0:8.62, v0:0.8.2.0? ",10.12
"t0:0.0, p0:81.86, v0:0.63.2.0? ",83.02
"t0:0.0, p0:42.51, v0:-0.18.2.0? ",42.05
"t0:0.0, p0:41.04, v0:0.26.2.0? ",41.46
"t0:0.0, p0:95.22, v0:0.47.2.0? ",96.06
"t0:0.0, p0:85.83, v0:0.87.2.0? ",87.47
"t0:0.0, p0:76.46, v0:-0.24.2.0? ",75.88
"t0:0.0, p0:30.69, v0:-0.9.2.0? ",28.79
"t0:0.0, p0:30.53, v0:-0.64.2.0? ",29.15
"t0:0.0, p0:33.07, v0:0.23.2.0? ",33.43
"t0:0.0, p0:39.77, v0:0.43.2.0? ",40.53
"t0:0.0, p0:99.63, v0:0.73.2.0? ",100.99
"t0:0.0, p0:55.41, v0:-0.15.2.0? ",55.01
"t0:0.0, p0:80.89, v0:0.83.2.0? ",82.45
"t0:0.0, p0:76.79, v0:-0.13.2.0? ",76.43
"t0:0.0, p0:55.06, v0:0.83.2.0? ",56.62
"t0:0.0, p0:87.49, v0:-0.98.2.0? ",85.43
"t0:0.0, p0:21.61, v0:-0.46.2.0? ",20.59
"t0:0.0, p0:44.16, v0:-0.01.2.0? ",44.04
"t0:0.0, p0:13.83, v0:0.45.2.0? ",14.63
"t0:0.0, p0:98.98, v0:0.03.2.0? ",98.94
"t0:0.0, p0:43.5, v0:0.59.2.0? ",44.58
"t0:0.0, p0:1.37, v0:-0.05.2.0? ",1.17
"t0:0.0, p0:88.91, v0:-0.09.2.0? ",88.63
"t0:0.0, p0:7.81, v0:-0.58.2.0? ",6.55
"t0:0.0, p0:71.95, v0:0.84.2.0? ",73.53
"t0:0.0, p0:70.07, v0:-0.3.2.0? ",69.37
"t0:0.0, p0:17.77, v0:-0.3.2.0? ",17.07
"t0:0.0, p0:12.28, v0:0.34.2.0? ",12.86
"t0:0.0, p0:88.83, v0:0.54.2.0? ",89.81
"t0:0.0, p0:64.55, v0:-0.38.2.0? ",63.69
"t0:0.0, p0:34.77, v0:0.83.2.0? ",36.33
"t0:0.0, p0:44.93, v0:-0.93.2.0? ",42.97
"t0:0.0, p0:86.38, v0:0.14.2.0? ",86.56
"t0:0.0, p0:30.28, v0:0.32.2.0? ",30.82
"t0:0.0, p0:85.01, v0:-0.64.2.0? ",83.63
"t0:0.0, p0:13.83, v0:-0.24.2.0? ",13.25
"t0:0.0, p0:77.05, v0:0.24.2.0? ",77.43
"t0:0.0, p0:46.81, v0:-0.81.2.0? ",45.09
"t0:0.0, p0:3.51, v0:-0.39.2.0? ",2.63
"t0:0.0, p0:18.22, v0:0.43.2.0? ",18.98
"t0:0.0, p0:88.15, v0:0.64.2.0? ",89.33
"t0:0.0, p0:84.52, v0:-0.82.2.0? ",82.78
"t0:0.0, p0:12.25, v0:0.94.2.0? ",14.03
"t0:0.0, p0:54.54, v0:0.98.2.0? ",56.4
"t0:0.0, p0:8.92, v0:0.5.2.0? ",9.82
"t0:0.0, p0:77.62, v0:-0.57.2.0? ",76.38
"t0:0.0, p0:99.51, v0:-0.34.2.0? ",98.73
"t0:0.0, p0:47.43, v0:0.99.2.0? ",49.31
"t0:0.0, p0:14.22, v0:-0.44.2.0? ",13.24
"t0:0.0, p0:72.98, v0:0.12.2.0? ",73.12
"t0:0.0, p0:42.39, v0:-0.83.2.0? ",40.63
"t0:0.0, p0:46.98, v0:0.53.2.0? ",47.94
"t0:0.0, p0:67.41, v0:-0.46.2.0? ",66.39
"t0:0.0, p0:44.83, v0:0.99.2.0? ",46.71
"t0:0.0, p0:66.94, v0:0.23.2.0? ",67.3
"t0:0.0, p0:21.32, v0:0.31.2.0? ",21.84
"t0:0.0, p0:20.6, v0:-0.85.2.0? ",18.8
"t0:0.0, p0:23.72, v0:-0.14.2.0? ",23.34
"t0:0.0, p0:66.74, v0:0.69.2.0? ",68.02
"t0:0.0, p0:50.91, v0:-0.74.2.0? ",49.33
"t0:0.0, p0:85.91, v0:0.82.2.0? ",87.45
"t0:0.0, p0:69.43, v0:0.37.2.0? ",70.07
"t0:0.0, p0:37.42, v0:0.43.2.0? ",38.18
"t0:0.0, p0:20.43, v0:0.47.2.0? ",21.27
"t0:0.0, p0:40.3, v0:-0.34.2.0? ",39.52
"t0:0.0, p0:50.36, v0:-0.81.2.0? ",48.64
"t0:0.0, p0:77.12, v0:-0.09.2.0? ",76.84
"t0:0.0, p0:65.07, v0:0.85.2.0? ",66.67
"t0:0.0, p0:69.53, v0:-0.99.2.0? ",67.45
"t0:0.0, p0:49.5, v0:-0.67.2.0? ",48.06
"t0:0.0, p0:39.6, v0:0.43.2.0? ",40.36
"t0:0.0, p0:56.52, v0:-0.36.2.0? ",55.7
"t0:0.0, p0:6.7, v0:-0.84.2.0? ",4.92
"t0:0.0, p0:92.7, v0:0.09.2.0? ",92.78
"t0:0.0, p0:28.51, v0:0.33.2.0? ",29.07
"t0:0.0, p0:12.29, v0:-0.02.2.0? ",12.15
"t0:0.0, p0:52.53, v0:0.36.2.0? ",53.15
"t0:0.0, p0:65.9, v0:-0.92.2.0? ",63.96
"t0:0.0, p0:0.89, v0:-0.64.2.0? ",0.0
"t0:0.0, p0:20.05, v0:-0.15.2.0? ",19.65
"t0:0.0, p0:49.76, v0:-0.5.2.0? ",48.66
"t0:0.0, p0:94.59, v0:0.09.2.0? ",94.67
"t0:0.0, p0:90.07, v0:-0.76.2.0? ",88.45
"t0:0.0, p0:72.45, v0:-0.79.2.0? ",70.77
"t0:0.0, p0:70.03, v0:-0.66.2.0? ",68.61
"t0:0.0, p0:86.6, v0:0.03.2.0? ",86.56
"t0:0.0, p0:83.82, v0:-0.81.2.0? ",82.1
"t0:0.0, p0:17.01, v0:0.91.2.0? ",18.73
"t0:0.0, p0:34.32, v0:-0.43.2.0? ",33.36
"t0:0.0, p0:43.99, v0:-0.46.2.0? ",42.97
"t0:0.0, p0:93.71, v0:-0.35.2.0? ",92.91
