question,answer
"An object is dropped at time 0.0 with initial position 47.58, 93.65 and initial velocity 0.0, -0.61. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",92.33
"An object is dropped at time 0.0 with initial position 63.53, 92.07 and initial velocity 0.0, -0.04. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",91.89
"An object is dropped at time 0.0 with initial position 31.74, 48.89 and initial velocity 0.0, -0.54. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",47.71
"An object is dropped at time 0.0 with initial position 31.14, 98.69 and initial velocity 0.0, 0.75. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",100.09
"An object is dropped at time 0.0 with initial position 43.24, 85.43 and initial velocity 0.0, 0.42. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",86.17
"An object is dropped at time 0.0 with initial position 36.55, 72.9 and initial velocity 0.0, 0.71. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",74.22
"An object is dropped at time 0.0 with initial position 34.34, 83.8 and initial velocity 0.0, -0.32. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",83.06
"An object is dropped at time 0.0 with initial position 78.56, 53.12 and initial velocity 0.0, 0.6. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",54.22
"An object is dropped at time 0.0 with initial position 85.88, 84.65 and initial velocity 0.0, 0.23. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",85.01
"An object is dropped at time 0.0 with initial position 41.37, 18.91 and initial velocity 0.0, 0.15. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",19.11
"An object is dropped at time 0.0 with initial position 84.55, 72.3 and initial velocity 0.0, 0.05. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",72.3
"An object is dropped at time 0.0 with initial position 68.67, 66.71 and initial velocity 0.0, -0.82. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",64.97
"An object is dropped at time 0.0 with initial position 25.77, 97.15 and initial velocity 0.0, 0.83. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",98.71
"An object is dropped at time 0.0 with initial position 67.61, 88.72 and initial velocity 0.0, 0.91. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",90.44
"An object is dropped at time 0.0 with initial position 70.05, 99.11 and initial velocity 0.0, 0.48. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",99.97
"An object is dropped at time 0.0 with initial position 55.36, 84.08 and initial velocity 0.0, 0.09. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",84.16
"An object is dropped at time 0.0 with initial position 50.18, 35.47 and initial velocity 0.0, -0.16. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",35.05
"An object is dropped at time 0.0 with initial position 85.61, 76.68 and initial velocity 0.0, -0.48. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",75.62
"An object is dropped at time 0.0 with initial position 64.59, 74.71 and initial velocity 0.0, -0.55. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",73.51
"An object is dropped at time 0.0 with initial position 11.56, 95.14 and initial velocity 0.0, -0.76. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",93.52
"An object is dropped at time 0.0 with initial position 22.62, 17.06 and initial velocity 0.0, -0.47. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",16.02
"An object is dropped at time 0.0 with initial position 40.89, 48.35 and initial velocity 0.0, -0.01. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",48.23
"An object is dropped at time 0.0 with initial position 53.55, 48.2 and initial velocity 0.0, 0.77. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",49.64
"An object is dropped at time 0.0 with initial position 22.21, 7.81 and initial velocity 0.0, 0.57. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",8.85
"An object is dropped at time 0.0 with initial position 33.18, 56.84 and initial velocity 0.0, -0.4. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",55.94
"An object is dropped at time 0.0 with initial position 78.54, 96.62 and initial velocity 0.0, -0.68. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",95.16
"An object is dropped at time 0.0 with initial position 49.5, 1.61 and initial velocity 0.0, -0.09. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",1.33
"An object is dropped at time 0.0 with initial position 69.34, 45.1 and initial velocity 0.0, 0.14. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",45.28
"An object is dropped at time 0.0 with initial position 33.13, 6.77 and initial velocity 0.0, 0.83. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",8.33
"An object is dropped at time 0.0 with initial position 72.69, 92.54 and initial velocity 0.0, 0.1. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",92.64
"An object is dropped at time 0.0 with initial position 40.22, 85.33 and initial velocity 0.0, 0.9. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",87.03
"An object is dropped at time 0.0 with initial position 11.13, 26.42 and initial velocity 0.0, 0.03. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",26.38
"An object is dropped at time 0.0 with initial position 48.99, 38.07 and initial velocity 0.0, -0.67. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",36.63
"An object is dropped at time 0.0 with initial position 20.22, 21.84 and initial velocity 0.0, -0.81. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",20.12
"An object is dropped at time 0.0 with initial position 44.0, 37.8 and initial velocity 0.0, -0.94. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",35.82
"An object is dropped at time 0.0 with initial position 37.81, 1.08 and initial velocity 0.0, 0.94. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",2.86
"An object is dropped at time 0.0 with initial position 27.23, 54.65 and initial velocity 0.0, -0.79. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",52.97
"An object is dropped at time 0.0 with initial position 34.77, 72.01 and initial velocity 0.0, 0.09. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",72.09
"An object is dropped at time 0.0 with initial position 22.03, 16.94 and initial velocity 0.0, -0.9. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",15.04
"An object is dropped at time 0.0 with initial position 13.3, 92.11 and initial velocity 0.0, 0.97. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",93.95
"An object is dropped at time 0.0 with initial position 62.13, 14.02 and initial velocity 0.0, 0.51. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",14.94
"An object is dropped at time 0.0 with initial position 7.94, 94.7 and initial velocity 0.0, -0.29. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",94.02
"An object is dropped at time 0.0 with initial position 39.63, 92.42 and initial velocity 0.0, -0.91. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",90.5
"An object is dropped at time 0.0 with initial position 54.68, 23.36 and initial velocity 0.0, -0.5. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",22.26
"An object is dropped at time 0.0 with initial position 91.57, 54.3 and initial velocity 0.0, 0.33. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",54.86
"An object is dropped at time 0.0 with initial position 79.5, 16.4 and initial velocity 0.0, -0.79. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",14.72
"An object is dropped at time 0.0 with initial position 73.98, 58.27 and initial velocity 0.0, -0.68. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",56.81
"An object is dropped at time 0.0 with initial position 59.17, 32.05 and initial velocity 0.0, -0.46. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",31.03
