question,answer
"t0:0.0, p0:20.63, v0:0.37.6.0? ",21.35
"t0:0.0, p0:91.38, v0:-0.23.3.0? ",90.39
"t0:0.0, p0:5.16, v0:0.28.6.0? ",5.34
"t0:0.0, p0:52.88, v0:-0.94.5.0? ",47.18
"t0:0.0, p0:11.6, v0:0.6.2.0? ",12.7
"t0:0.0, p0:13.15, v0:-0.18.6.0? ",10.57
"t0:0.0, p0:92.01, v0:-0.71.6.0? ",86.25
"t0:0.0, p0:57.91, v0:-0.68.1.0? ",57.23
"t0:0.0, p0:35.93, v0:-0.4.1.0? ",35.53
"t0:0.0, p0:71.06, v0:0.83.4.0? ",73.78
"t0:0.0, p0:55.04, v0:-0.28.3.0? ",53.9
"t0:0.0, p0:31.13, v0:0.06.2.0? ",31.15
"t0:0.0, p0:44.87, v0:-0.09.2.0? ",44.59
"t0:0.0, p0:25.47, v0:-0.59.3.0? ",23.4
"t0:0.0, p0:98.5, v0:0.82.5.0? ",101.6
"t0:0.0, p0:62.21, v0:-0.53.6.0? ",57.53
"t0:0.0, p0:81.46, v0:0.03.2.0? ",81.42
"t0:0.0, p0:65.93, v0:0.59.4.0? ",67.69
"t0:0.0, p0:43.8, v0:-0.37.3.0? ",42.39
"t0:0.0, p0:99.69, v0:-0.95.2.0? ",97.69
"t0:0.0, p0:61.9, v0:0.86.5.0? ",65.2
"t0:0.0, p0:7.31, v0:-0.81.5.0? ",2.26
"t0:0.0, p0:61.84, v0:-0.59.4.0? ",58.88
"t0:0.0, p0:50.21, v0:0.12.5.0? ",49.81
"t0:0.0, p0:8.83, v0:-0.46.4.0? ",6.39
"t0:0.0, p0:64.98, v0:-0.89.1.0? ",64.09
"t0:0.0, p0:34.02, v0:-0.29.4.0? ",32.26
"t0:0.0, p0:54.99, v0:-0.9.2.0? ",53.09
"t0:0.0, p0:75.44, v0:-0.13.6.0? ",73.16
"t0:0.0, p0:59.24, v0:-0.89.5.0? ",53.79
"t0:0.0, p0:41.03, v0:0.25.6.0? ",41.03
"t0:0.0, p0:86.19, v0:0.82.4.0? ",88.87
"t0:0.0, p0:87.81, v0:0.86.5.0? ",91.11
"t0:0.0, p0:79.04, v0:-0.29.5.0? ",76.59
"t0:0.0, p0:9.75, v0:0.01.6.0? ",8.31
"t0:0.0, p0:18.26, v0:0.81.1.0? ",19.07
"t0:0.0, p0:89.63, v0:0.49.2.0? ",90.51
"t0:0.0, p0:59.47, v0:-0.79.3.0? ",56.8
"t0:0.0, p0:48.04, v0:-0.5.5.0? ",44.54
"t0:0.0, p0:74.28, v0:-0.65.3.0? ",72.03
"t0:0.0, p0:51.39, v0:0.89.6.0? ",55.23
"t0:0.0, p0:69.67, v0:-0.64.1.0? ",69.03
"t0:0.0, p0:96.11, v0:0.35.4.0? ",96.91
"t0:0.0, p0:2.21, v0:-0.94.3.0? ",0.0
"t0:0.0, p0:90.07, v0:0.56.3.0? ",91.45
"t0:0.0, p0:65.82, v0:-0.47.6.0? ",61.5
"t0:0.0, p0:66.68, v0:0.13.5.0? ",66.33
"t0:0.0, p0:2.27, v0:-0.65.3.0? ",0.02
"t0:0.0, p0:13.83, v0:-0.9.4.0? ",9.63
"t0:0.0, p0:29.43, v0:0.25.6.0? ",29.43
"t0:0.0, p0:58.5, v0:-0.01.6.0? ",56.94
"t0:0.0, p0:82.69, v0:-0.86.6.0? ",76.03
"t0:0.0, p0:58.46, v0:-0.97.3.0? ",55.25
"t0:0.0, p0:60.73, v0:0.37.6.0? ",61.45
"t0:0.0, p0:54.34, v0:0.87.4.0? ",57.22
"t0:0.0, p0:77.37, v0:0.96.3.0? ",79.95
"t0:0.0, p0:32.23, v0:-0.52.3.0? ",30.37
"t0:0.0, p0:71.13, v0:0.28.6.0? ",71.31
"t0:0.0, p0:75.13, v0:0.56.3.0? ",76.51
"t0:0.0, p0:45.67, v0:-0.47.3.0? ",43.96
"t0:0.0, p0:74.29, v0:-0.03.4.0? ",73.57
"t0:0.0, p0:24.48, v0:0.3.2.0? ",24.98
"t0:0.0, p0:33.7, v0:0.76.6.0? ",36.76
"t0:0.0, p0:38.34, v0:-0.58.2.0? ",37.08
"t0:0.0, p0:46.08, v0:0.69.5.0? ",48.53
"t0:0.0, p0:97.59, v0:-0.4.4.0? ",95.39
"t0:0.0, p0:14.08, v0:-0.63.3.0? ",11.89
"t0:0.0, p0:63.3, v0:-0.57.3.0? ",61.29
"t0:0.0, p0:59.92, v0:-0.38.5.0? ",57.02
"t0:0.0, p0:36.28, v0:-0.24.5.0? ",34.08
"t0:0.0, p0:95.86, v0:0.06.6.0? ",94.72
"t0:0.0, p0:22.47, v0:-0.94.3.0? ",19.35
"t0:0.0, p0:4.01, v0:-0.93.1.0? ",3.08
"t0:0.0, p0:62.14, v0:0.96.4.0? ",65.38
"t0:0.0, p0:70.14, v0:-0.94.6.0? ",63.0
"t0:0.0, p0:64.17, v0:-0.06.4.0? ",63.33
"t0:0.0, p0:97.27, v0:0.69.6.0? ",99.91
"t0:0.0, p0:19.38, v0:-0.35.3.0? ",18.03
"t0:0.0, p0:99.53, v0:-0.19.4.0? ",98.17
"t0:0.0, p0:33.67, v0:0.19.3.0? ",33.94
"t0:0.0, p0:70.23, v0:-0.6.3.0? ",68.13
"t0:0.0, p0:66.37, v0:-0.79.6.0? ",60.13
"t0:0.0, p0:10.87, v0:-0.14.4.0? ",9.71
"t0:0.0, p0:35.72, v0:-0.99.1.0? ",34.73
"t0:0.0, p0:46.55, v0:0.47.4.0? ",47.83
"t0:0.0, p0:76.34, v0:-0.66.5.0? ",72.04
"t0:0.0, p0:8.22, v0:0.85.2.0? ",9.82
"t0:0.0, p0:61.86, v0:-0.42.2.0? ",60.92
"t0:0.0, p0:78.18, v0:-0.09.2.0? ",77.9
"t0:0.0, p0:47.02, v0:0.26.6.0? ",47.08
"t0:0.0, p0:29.56, v0:0.21.4.0? ",29.8
"t0:0.0, p0:24.96, v0:-0.19.1.0? ",24.77
"t0:0.0, p0:76.53, v0:0.33.1.0? ",76.86
"t0:0.0, p0:36.54, v0:0.2.1.0? ",36.74
"t0:0.0, p0:40.42, v0:0.49.5.0? ",41.87
"t0:0.0, p0:32.25, v0:-0.23.4.0? ",30.73
"t0:0.0, p0:15.71, v0:-0.87.2.0? ",13.87
"t0:0.0, p0:89.37, v0:-0.32.6.0? ",85.95
"t0:0.0, p0:73.68, v0:-0.24.3.0? ",72.66
"t0:0.0, p0:83.54, v0:0.26.4.0? ",83.98
"t0:0.0, p0:5.75, v0:-0.99.4.0? ",1.19
"t0:0.0, p0:94.29, v0:-0.37.5.0? ",91.44
"t0:0.0, p0:33.43, v0:-0.45.6.0? ",29.23
"t0:0.0, p0:20.41, v0:-0.51.2.0? ",19.29
"t0:0.0, p0:18.34, v0:-0.87.2.0? ",16.5
"t0:0.0, p0:1.11, v0:0.19.4.0? ",1.27
"t0:0.0, p0:60.42, v0:-0.41.5.0? ",57.37
"t0:0.0, p0:65.63, v0:0.64.6.0? ",67.97
"t0:0.0, p0:89.86, v0:-0.61.1.0? ",89.25
"t0:0.0, p0:82.51, v0:0.37.2.0? ",83.15
"t0:0.0, p0:24.78, v0:0.15.2.0? ",24.98
"t0:0.0, p0:8.56, v0:-0.49.5.0? ",5.11
"t0:0.0, p0:40.5, v0:-0.1.5.0? ",39.0
"t0:0.0, p0:8.62, v0:-0.85.2.0? ",6.82
"t0:0.0, p0:26.94, v0:-0.63.4.0? ",23.82
"t0:0.0, p0:71.51, v0:-0.46.1.0? ",71.05
"t0:0.0, p0:45.7, v0:0.04.6.0? ",44.44
"t0:0.0, p0:89.91, v0:0.92.3.0? ",92.37
"t0:0.0, p0:20.69, v0:-0.41.3.0? ",19.16
"t0:0.0, p0:72.18, v0:0.84.6.0? ",75.72
"t0:0.0, p0:76.84, v0:0.64.1.0? ",77.48
"t0:0.0, p0:43.21, v0:-0.1.2.0? ",42.91
"t0:0.0, p0:95.55, v0:0.45.2.0? ",96.35
"t0:0.0, p0:41.96, v0:-0.1.5.0? ",40.46
"t0:0.0, p0:0.76, v0:-0.49.2.0? ",0.0
"t0:0.0, p0:50.77, v0:0.1.3.0? ",50.77
"t0:0.0, p0:75.26, v0:-0.35.6.0? ",71.66
"t0:0.0, p0:11.18, v0:-0.28.6.0? ",8.0
"t0:0.0, p0:23.12, v0:0.9.3.0? ",25.52
"t0:0.0, p0:57.43, v0:-0.02.1.0? ",57.41
"t0:0.0, p0:7.1, v0:0.62.6.0? ",9.32
"t0:0.0, p0:5.36, v0:-0.88.3.0? ",2.42
"t0:0.0, p0:34.32, v0:-0.19.6.0? ",31.68
"t0:0.0, p0:74.85, v0:0.41.3.0? ",75.78
"t0:0.0, p0:0.15, v0:-0.63.1.0? ",0.0
"t0:0.0, p0:8.15, v0:0.02.5.0? ",7.25
"t0:0.0, p0:0.41, v0:0.0.4.0? ",0.0
"t0:0.0, p0:96.49, v0:-0.95.6.0? ",89.29
"t0:0.0, p0:93.07, v0:0.97.2.0? ",94.91
"t0:0.0, p0:25.47, v0:-0.05.3.0? ",25.02
"t0:0.0, p0:66.15, v0:-0.86.6.0? ",59.49
"t0:0.0, p0:61.4, v0:-0.22.1.0? ",61.18
"t0:0.0, p0:23.44, v0:-0.77.2.0? ",21.8
"t0:0.0, p0:2.3, v0:0.41.2.0? ",3.02
"t0:0.0, p0:23.18, v0:-0.09.2.0? ",22.9
"t0:0.0, p0:59.31, v0:0.4.6.0? ",60.21
"t0:0.0, p0:62.85, v0:-0.44.3.0? ",61.23
"t0:0.0, p0:77.0, v0:-0.24.3.0? ",75.98
"t0:0.0, p0:30.29, v0:-0.16.2.0? ",29.87
"t0:0.0, p0:71.07, v0:-0.18.6.0? ",68.49
"t0:0.0, p0:47.09, v0:-0.94.5.0? ",41.39
"t0:0.0, p0:10.56, v0:0.35.5.0? ",11.31
"t0:0.0, p0:71.21, v0:-0.07.3.0? ",70.7
"t0:0.0, p0:39.5, v0:0.65.4.0? ",41.5
"t0:0.0, p0:34.2, v0:-1.0.2.0? ",32.1
"t0:0.0, p0:35.2, v0:-0.44.3.0? ",33.58
"t0:0.0, p0:60.07, v0:0.05.4.0? ",59.67
"t0:0.0, p0:33.77, v0:0.44.6.0? ",34.91
"t0:0.0, p0:17.83, v0:0.82.4.0? ",20.51
"t0:0.0, p0:79.75, v0:-0.42.5.0? ",76.65
"t0:0.0, p0:94.68, v0:-0.89.6.0? ",87.84
"t0:0.0, p0:80.45, v0:0.72.4.0? ",82.73
"t0:0.0, p0:3.13, v0:0.6.3.0? ",4.63
"t0:0.0, p0:32.72, v0:-0.98.2.0? ",30.66
"t0:0.0, p0:47.91, v0:-0.59.2.0? ",46.63
"t0:0.0, p0:88.77, v0:0.04.5.0? ",87.97
"t0:0.0, p0:54.84, v0:-0.92.5.0? ",49.24
"t0:0.0, p0:0.25, v0:-0.72.1.0? ",0.0
"t0:0.0, p0:61.2, v0:0.55.4.0? ",62.8
"t0:0.0, p0:31.11, v0:-0.43.5.0? ",27.96
"t0:0.0, p0:48.02, v0:0.53.5.0? ",49.67
"t0:0.0, p0:31.46, v0:-0.94.1.0? ",30.52
"t0:0.0, p0:76.33, v0:0.38.3.0? ",77.17
"t0:0.0, p0:49.36, v0:0.18.5.0? ",49.26
"t0:0.0, p0:36.28, v0:-0.14.4.0? ",35.12
"t0:0.0, p0:90.69, v0:0.7.2.0? ",91.99
"t0:0.0, p0:19.15, v0:-0.04.6.0? ",17.41
"t0:0.0, p0:42.97, v0:0.22.4.0? ",43.25
"t0:0.0, p0:35.09, v0:0.9.4.0? ",38.09
"t0:0.0, p0:59.77, v0:0.63.3.0? ",61.36
"t0:0.0, p0:90.77, v0:-0.27.2.0? ",90.13
"t0:0.0, p0:37.01, v0:-0.37.4.0? ",34.93
"t0:0.0, p0:85.56, v0:0.97.6.0? ",89.88
"t0:0.0, p0:9.54, v0:-0.9.4.0? ",5.34
"t0:0.0, p0:34.54, v0:-0.96.1.0? ",33.58
"t0:0.0, p0:91.85, v0:0.47.4.0? ",93.13
"t0:0.0, p0:21.92, v0:-0.96.2.0? ",19.9
"t0:0.0, p0:12.81, v0:-0.48.2.0? ",11.75
"t0:0.0, p0:66.4, v0:0.47.5.0? ",67.75
"t0:0.0, p0:45.21, v0:-0.64.1.0? ",44.57
"t0:0.0, p0:59.43, v0:-0.04.3.0? ",59.01
"t0:0.0, p0:53.39, v0:-0.79.1.0? ",52.6
"t0:0.0, p0:22.54, v0:-0.88.4.0? ",18.42
"t0:0.0, p0:28.87, v0:0.09.1.0? ",28.96
"t0:0.0, p0:47.72, v0:0.94.3.0? ",50.24
"t0:0.0, p0:58.42, v0:-0.11.3.0? ",57.79
"t0:0.0, p0:83.82, v0:-0.16.2.0? ",83.4
"t0:0.0, p0:38.15, v0:-0.29.6.0? ",34.91
"t0:0.0, p0:22.86, v0:-0.35.3.0? ",21.51
"t0:0.0, p0:53.6, v0:-0.96.6.0? ",46.34
"t0:0.0, p0:49.19, v0:-0.26.3.0? ",48.11
"t0:0.0, p0:43.09, v0:0.65.5.0? ",45.34
"t0:0.0, p0:12.03, v0:0.44.1.0? ",12.47
"t0:0.0, p0:83.7, v0:0.53.5.0? ",85.35
"t0:0.0, p0:43.56, v0:-0.99.6.0? ",36.12
"t0:0.0, p0:99.31, v0:-0.56.5.0? ",95.51
"t0:0.0, p0:57.42, v0:0.9.6.0? ",61.32
"t0:0.0, p0:62.27, v0:0.79.6.0? ",65.51
"t0:0.0, p0:11.1, v0:0.5.5.0? ",12.6
"t0:0.0, p0:77.06, v0:0.51.3.0? ",78.29
"t0:0.0, p0:71.34, v0:0.09.6.0? ",70.38
"t0:0.0, p0:48.16, v0:0.11.3.0? ",48.19
"t0:0.0, p0:6.14, v0:0.47.1.0? ",6.61
"t0:0.0, p0:44.02, v0:0.13.3.0? ",44.11
"t0:0.0, p0:60.17, v0:0.14.4.0? ",60.13
"t0:0.0, p0:71.92, v0:0.09.6.0? ",70.96
"t0:0.0, p0:72.67, v0:0.13.4.0? ",72.59
"t0:0.0, p0:60.68, v0:-0.19.2.0? ",60.2
"t0:0.0, p0:54.97, v0:0.83.5.0? ",58.12
"t0:0.0, p0:67.9, v0:-0.09.3.0? ",67.33
"t0:0.0, p0:74.66, v0:-0.36.5.0? ",71.86
"t0:0.0, p0:1.41, v0:0.39.6.0? ",2.25
"t0:0.0, p0:83.29, v0:0.73.4.0? ",85.61
"t0:0.0, p0:27.3, v0:-0.85.3.0? ",24.45
"t0:0.0, p0:81.24, v0:0.89.4.0? ",84.2
"t0:0.0, p0:96.13, v0:-0.27.5.0? ",93.78
"t0:0.0, p0:34.19, v0:0.76.6.0? ",37.25
"t0:0.0, p0:85.64, v0:-0.29.6.0? ",82.4
"t0:0.0, p0:44.49, v0:0.04.3.0? ",44.31
"t0:0.0, p0:40.29, v0:-0.78.2.0? ",38.63
"t0:0.0, p0:63.96, v0:-0.16.2.0? ",63.54
"t0:0.0, p0:94.73, v0:-0.32.6.0? ",91.31
"t0:0.0, p0:88.96, v0:-0.29.1.0? ",88.67
"t0:0.0, p0:90.42, v0:0.21.6.0? ",90.18
"t0:0.0, p0:40.9, v0:-0.44.1.0? ",40.46
"t0:0.0, p0:83.24, v0:-0.04.1.0? ",83.2
"t0:0.0, p0:53.21, v0:-0.08.3.0? ",52.67
"t0:0.0, p0:72.93, v0:0.6.3.0? ",74.43
"t0:0.0, p0:2.79, v0:0.04.5.0? ",1.99
"t0:0.0, p0:80.24, v0:0.21.3.0? ",80.57
"t0:0.0, p0:79.87, v0:-0.66.5.0? ",75.57
"t0:0.0, p0:70.02, v0:-0.75.2.0? ",68.42
"t0:0.0, p0:66.46, v0:0.3.2.0? ",66.96
"t0:0.0, p0:19.74, v0:-0.36.5.0? ",16.94
"t0:0.0, p0:2.6, v0:-0.59.3.0? ",0.53
"t0:0.0, p0:41.59, v0:0.09.5.0? ",41.04
"t0:0.0, p0:12.43, v0:-0.48.2.0? ",11.37
"t0:0.0, p0:70.57, v0:-0.12.2.0? ",70.23
"t0:0.0, p0:24.89, v0:0.48.1.0? ",25.37
"t0:0.0, p0:98.88, v0:-0.3.6.0? ",95.58
"t0:0.0, p0:72.65, v0:1.0.2.0? ",74.55
"t0:0.0, p0:40.77, v0:0.29.6.0? ",41.01
"t0:0.0, p0:60.77, v0:-0.13.6.0? ",58.49
"t0:0.0, p0:14.13, v0:0.71.4.0? ",16.37
"t0:0.0, p0:30.91, v0:0.29.1.0? ",31.2
"t0:0.0, p0:53.04, v0:-0.67.1.0? ",52.37
"t0:0.0, p0:8.79, v0:-0.72.1.0? ",8.07
"t0:0.0, p0:50.65, v0:-0.33.6.0? ",47.17
"t0:0.0, p0:77.85, v0:-0.05.6.0? ",76.05
"t0:0.0, p0:47.95, v0:-0.63.2.0? ",46.59
"t0:0.0, p0:0.96, v0:0.99.6.0? ",5.4
"t0:0.0, p0:86.95, v0:-0.32.1.0? ",86.63
"t0:0.0, p0:26.94, v0:-0.33.5.0? ",24.29
"t0:0.0, p0:23.51, v0:0.62.4.0? ",25.39
"t0:0.0, p0:31.26, v0:0.72.6.0? ",34.08
"t0:0.0, p0:81.3, v0:-0.69.6.0? ",75.66
"t0:0.0, p0:39.39, v0:-0.92.6.0? ",32.37
"t0:0.0, p0:19.52, v0:0.55.2.0? ",20.52
"t0:0.0, p0:95.58, v0:-0.96.4.0? ",91.14
"t0:0.0, p0:32.03, v0:0.36.6.0? ",32.69
"t0:0.0, p0:37.32, v0:-0.04.3.0? ",36.9
"t0:0.0, p0:16.39, v0:0.7.4.0? ",18.59
"t0:0.0, p0:29.28, v0:0.77.4.0? ",31.76
"t0:0.0, p0:16.34, v0:0.72.6.0? ",19.16
"t0:0.0, p0:18.89, v0:-0.06.6.0? ",17.03
"t0:0.0, p0:71.81, v0:0.59.2.0? ",72.89
"t0:0.0, p0:5.86, v0:0.43.4.0? ",6.98
"t0:0.0, p0:13.66, v0:0.11.5.0? ",13.21
"t0:0.0, p0:52.65, v0:0.33.5.0? ",53.3
"t0:0.0, p0:21.98, v0:-0.8.2.0? ",20.28
"t0:0.0, p0:10.24, v0:0.67.3.0? ",11.95
"t0:0.0, p0:72.4, v0:0.94.6.0? ",76.54
"t0:0.0, p0:23.86, v0:0.19.3.0? ",24.13
"t0:0.0, p0:93.32, v0:-0.49.4.0? ",90.76
"t0:0.0, p0:22.25, v0:-0.44.6.0? ",18.11
"t0:0.0, p0:66.0, v0:-0.12.4.0? ",64.92
"t0:0.0, p0:86.46, v0:0.74.2.0? ",87.84
"t0:0.0, p0:14.4, v0:0.14.5.0? ",14.1
"t0:0.0, p0:78.89, v0:-0.03.4.0? ",78.17
"t0:0.0, p0:26.2, v0:-0.33.4.0? ",24.28
"t0:0.0, p0:19.27, v0:0.79.5.0? ",22.22
"t0:0.0, p0:14.62, v0:-0.88.5.0? ",9.22
"t0:0.0, p0:90.72, v0:0.14.4.0? ",90.68
"t0:0.0, p0:39.2, v0:-1.0.4.0? ",34.6
"t0:0.0, p0:5.3, v0:-0.65.1.0? ",4.65
"t0:0.0, p0:95.19, v0:0.1.6.0? ",94.29
"t0:0.0, p0:90.22, v0:-0.94.3.0? ",87.1
"t0:0.0, p0:87.48, v0:-0.41.6.0? ",83.52
"t0:0.0, p0:47.78, v0:0.05.3.0? ",47.63
"t0:0.0, p0:10.86, v0:-0.87.3.0? ",7.95
"t0:0.0, p0:0.96, v0:0.0.4.0? ",0.36
"t0:0.0, p0:28.17, v0:-0.17.1.0? ",28.0
"t0:0.0, p0:90.52, v0:0.74.4.0? ",92.88
"t0:0.0, p0:67.65, v0:-0.37.4.0? ",65.57
"t0:0.0, p0:66.11, v0:0.35.5.0? ",66.86
"t0:0.0, p0:25.09, v0:-0.22.1.0? ",24.87
"t0:0.0, p0:11.05, v0:0.14.2.0? ",11.23
"t0:0.0, p0:23.59, v0:-0.88.5.0? ",18.19
"t0:0.0, p0:80.76, v0:-0.05.5.0? ",79.51
"t0:0.0, p0:96.45, v0:-0.76.5.0? ",91.65
"t0:0.0, p0:6.89, v0:-0.49.2.0? ",5.81
"t0:0.0, p0:11.11, v0:0.14.4.0? ",11.07
"t0:0.0, p0:83.82, v0:-0.88.1.0? ",82.94
"t0:0.0, p0:10.48, v0:-0.88.4.0? ",6.36
"t0:0.0, p0:5.71, v0:0.05.3.0? ",5.56
"t0:0.0, p0:68.56, v0:-0.31.6.0? ",65.2
"t0:0.0, p0:27.05, v0:0.24.3.0? ",27.47
"t0:0.0, p0:82.03, v0:-0.8.6.0? ",75.73
"t0:0.0, p0:26.28, v0:0.7.2.0? ",27.58
"t0:0.0, p0:68.56, v0:0.96.4.0? ",71.8
"t0:0.0, p0:1.83, v0:0.65.4.0? ",3.83
"t0:0.0, p0:27.38, v0:-0.26.5.0? ",25.08
"t0:0.0, p0:35.67, v0:-0.84.3.0? ",32.85
"t0:0.0, p0:85.2, v0:0.65.5.0? ",87.45
"t0:0.0, p0:37.43, v0:0.42.1.0? ",37.85
"t0:0.0, p0:57.12, v0:0.4.6.0? ",58.02
"t0:0.0, p0:25.29, v0:-0.32.4.0? ",23.41
"t0:0.0, p0:44.87, v0:-0.6.3.0? ",42.77
"t0:0.0, p0:29.12, v0:0.28.2.0? ",29.58
"t0:0.0, p0:33.09, v0:-0.2.3.0? ",32.19
"t0:0.0, p0:70.91, v0:-0.7.6.0? ",65.21
"t0:0.0, p0:66.85, v0:0.22.4.0? ",67.13
"t0:0.0, p0:83.41, v0:0.57.1.0? ",83.98
"t0:0.0, p0:18.92, v0:0.99.2.0? ",20.8
"t0:0.0, p0:38.16, v0:-0.65.3.0? ",35.91
"t0:0.0, p0:24.2, v0:-0.79.6.0? ",17.96
"t0:0.0, p0:43.18, v0:-0.38.4.0? ",41.06
"t0:0.0, p0:55.83, v0:-0.92.4.0? ",51.55
"t0:0.0, p0:68.22, v0:0.74.6.0? ",71.16
"t0:0.0, p0:53.07, v0:-0.02.6.0? ",51.45
"t0:0.0, p0:84.12, v0:-0.57.5.0? ",80.27
"t0:0.0, p0:90.16, v0:0.7.5.0? ",92.66
"t0:0.0, p0:39.02, v0:0.51.6.0? ",40.58
"t0:0.0, p0:37.83, v0:0.43.4.0? ",38.95
"t0:0.0, p0:81.42, v0:0.8.4.0? ",84.02
"t0:0.0, p0:54.64, v0:0.32.6.0? ",55.06
"t0:0.0, p0:34.48, v0:0.4.3.0? ",35.38
"t0:0.0, p0:5.61, v0:-0.13.5.0? ",3.96
"t0:0.0, p0:46.4, v0:0.54.4.0? ",47.96
"t0:0.0, p0:12.41, v0:0.27.5.0? ",12.76
"t0:0.0, p0:7.36, v0:-0.7.1.0? ",6.66
"t0:0.0, p0:10.99, v0:-0.88.1.0? ",10.11
"t0:0.0, p0:44.59, v0:0.23.2.0? ",44.95
"t0:0.0, p0:75.29, v0:-0.47.1.0? ",74.82
"t0:0.0, p0:56.21, v0:0.58.1.0? ",56.79
"t0:0.0, p0:51.78, v0:0.93.3.0? ",54.27
"t0:0.0, p0:51.32, v0:0.6.3.0? ",52.82
"t0:0.0, p0:68.9, v0:-0.13.2.0? ",68.54
"t0:0.0, p0:59.3, v0:-0.63.3.0? ",57.11
"t0:0.0, p0:50.51, v0:0.22.3.0? ",50.87
