question,answer
"An object is dropped at time 0.0 with initial position 71.78, 9.1 and initial velocity 0.0, -0.93.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",4.78
"An object is dropped at time 0.0 with initial position 64.38, 68.68 and initial velocity 0.0, 0.87.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",70.99
"An object is dropped at time 0.0 with initial position 59.12, 72.13 and initial velocity 0.0, 0.02.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",71.61
"An object is dropped at time 0.0 with initial position 78.86, 95.68 and initial velocity 0.0, -0.87.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",88.96
"An object is dropped at time 0.0 with initial position 15.76, 68.9 and initial velocity 0.0, -0.13.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",68.54
"An object is dropped at time 0.0 with initial position 31.89, 31.73 and initial velocity 0.0, 0.73.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",34.61
"An object is dropped at time 0.0 with initial position 39.13, 26.51 and initial velocity 0.0, -0.71.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",20.75
"An object is dropped at time 0.0 with initial position 45.37, 5.15 and initial velocity 0.0, 0.13.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",5.24
"An object is dropped at time 0.0 with initial position 9.69, 95.21 and initial velocity 0.0, 0.48.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",96.07
"An object is dropped at time 0.0 with initial position 50.48, 87.51 and initial velocity 0.0, 0.01.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",86.95
"An object is dropped at time 0.0 with initial position 96.59, 17.96 and initial velocity 0.0, -0.32.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",17.64
"An object is dropped at time 0.0 with initial position 55.51, 50.2 and initial velocity 0.0, -0.2.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",50.0
"An object is dropped at time 0.0 with initial position 68.46, 44.46 and initial velocity 0.0, -0.88.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",39.06
"An object is dropped at time 0.0 with initial position 93.27, 18.14 and initial velocity 0.0, -0.96.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",10.88
"An object is dropped at time 0.0 with initial position 51.31, 17.59 and initial velocity 0.0, 0.61.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",19.12
"An object is dropped at time 0.0 with initial position 16.15, 76.9 and initial velocity 0.0, 0.37.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",77.62
"An object is dropped at time 0.0 with initial position 65.77, 17.29 and initial velocity 0.0, 0.27.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",17.77
"An object is dropped at time 0.0 with initial position 90.43, 93.34 and initial velocity 0.0, 0.35.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",93.94
"An object is dropped at time 0.0 with initial position 50.89, 86.15 and initial velocity 0.0, -0.83.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",81.0
"An object is dropped at time 0.0 with initial position 37.46, 87.28 and initial velocity 0.0, -0.22.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",87.06
"An object is dropped at time 0.0 with initial position 84.36, 5.16 and initial velocity 0.0, 0.28.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",5.34
"An object is dropped at time 0.0 with initial position 45.52, 86.18 and initial velocity 0.0, 0.62.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",87.32
"An object is dropped at time 0.0 with initial position 97.05, 25.28 and initial velocity 0.0, -0.21.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",24.76
"An object is dropped at time 0.0 with initial position 75.62, 5.32 and initial velocity 0.0, -0.15.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",2.92
"An object is dropped at time 0.0 with initial position 53.29, 2.81 and initial velocity 0.0, 0.77.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",4.82
"An object is dropped at time 0.0 with initial position 0.15, 19.08 and initial velocity 0.0, 0.11.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",19.11
"An object is dropped at time 0.0 with initial position 80.99, 82.54 and initial velocity 0.0, -0.04.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",81.34
"An object is dropped at time 0.0 with initial position 57.6, 8.52 and initial velocity 0.0, -0.81.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",6.8
"An object is dropped at time 0.0 with initial position 70.1, 77.05 and initial velocity 0.0, 0.68.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",78.79
"An object is dropped at time 0.0 with initial position 27.6, 62.33 and initial velocity 0.0, 0.45.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",63.53
"An object is dropped at time 0.0 with initial position 88.56, 95.54 and initial velocity 0.0, 0.94.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",99.24
"An object is dropped at time 0.0 with initial position 87.23, 27.66 and initial velocity 0.0, -0.36.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",24.0
"An object is dropped at time 0.0 with initial position 16.75, 59.43 and initial velocity 0.0, -0.04.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",59.01
"An object is dropped at time 0.0 with initial position 71.85, 8.23 and initial velocity 0.0, -0.44.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",6.61
"An object is dropped at time 0.0 with initial position 90.12, 5.87 and initial velocity 0.0, 0.76.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",6.63
"An object is dropped at time 0.0 with initial position 74.31, 78.93 and initial velocity 0.0, 0.87.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",79.8
"An object is dropped at time 0.0 with initial position 55.65, 8.98 and initial velocity 0.0, 0.09.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",9.07
"An object is dropped at time 0.0 with initial position 87.31, 85.68 and initial velocity 0.0, -0.99.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",83.6
"An object is dropped at time 0.0 with initial position 74.87, 25.55 and initial velocity 0.0, 0.56.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",26.11
"An object is dropped at time 0.0 with initial position 73.39, 94.55 and initial velocity 0.0, 0.77.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",95.32
"An object is dropped at time 0.0 with initial position 38.29, 62.9 and initial velocity 0.0, -0.16.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",62.48
"An object is dropped at time 0.0 with initial position 56.99, 41.03 and initial velocity 0.0, -0.99.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",35.08
"An object is dropped at time 0.0 with initial position 24.32, 43.13 and initial velocity 0.0, -0.64.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",37.79
"An object is dropped at time 0.0 with initial position 52.58, 58.72 and initial velocity 0.0, 0.51.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",59.95
"An object is dropped at time 0.0 with initial position 45.58, 4.79 and initial velocity 0.0, 0.89.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",7.75
"An object is dropped at time 0.0 with initial position 19.97, 76.68 and initial velocity 0.0, -0.22.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",76.46
"An object is dropped at time 0.0 with initial position 92.75, 90.25 and initial velocity 0.0, 0.26.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",90.69
"An object is dropped at time 0.0 with initial position 80.04, 10.49 and initial velocity 0.0, -0.67.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",9.05
"An object is dropped at time 0.0 with initial position 81.96, 44.65 and initial velocity 0.0, 0.23.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",45.04
"An object is dropped at time 0.0 with initial position 18.9, 21.93 and initial velocity 0.0, -0.22.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",19.83
"An object is dropped at time 0.0 with initial position 56.49, 57.01 and initial velocity 0.0, 0.36.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",57.81
"An object is dropped at time 0.0 with initial position 62.88, 44.75 and initial velocity 0.0, 0.86.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",47.03
"An object is dropped at time 0.0 with initial position 35.34, 12.35 and initial velocity 0.0, 0.58.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",14.33
"An object is dropped at time 0.0 with initial position 69.14, 4.42 and initial velocity 0.0, -0.75.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",3.67
"An object is dropped at time 0.0 with initial position 44.22, 91.45 and initial velocity 0.0, 0.61.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",93.5
"An object is dropped at time 0.0 with initial position 88.9, 77.21 and initial velocity 0.0, -0.48.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",76.73
"An object is dropped at time 0.0 with initial position 45.27, 76.48 and initial velocity 0.0, -0.74.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",71.78
"An object is dropped at time 0.0 with initial position 89.02, 34.55 and initial velocity 0.0, -0.29.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",34.26
"An object is dropped at time 0.0 with initial position 93.95, 74.4 and initial velocity 0.0, 0.02.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",73.02
"An object is dropped at time 0.0 with initial position 6.23, 56.64 and initial velocity 0.0, -0.64.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",55.26
"An object is dropped at time 0.0 with initial position 24.76, 11.31 and initial velocity 0.0, 0.16.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",11.49
"An object is dropped at time 0.0 with initial position 42.29, 84.14 and initial velocity 0.0, -0.85.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",77.54
"An object is dropped at time 0.0 with initial position 72.54, 58.96 and initial velocity 0.0, 0.06.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",58.84
"An object is dropped at time 0.0 with initial position 87.42, 56.19 and initial velocity 0.0, -0.99.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",48.75
"An object is dropped at time 0.0 with initial position 22.23, 12.45 and initial velocity 0.0, 0.52.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",13.93
"An object is dropped at time 0.0 with initial position 55.81, 46.91 and initial velocity 0.0, 0.51.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",48.47
"An object is dropped at time 0.0 with initial position 59.21, 9.07 and initial velocity 0.0, 0.89.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",9.96
"An object is dropped at time 0.0 with initial position 62.59, 74.14 and initial velocity 0.0, 0.76.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",76.94
"An object is dropped at time 0.0 with initial position 13.77, 30.26 and initial velocity 0.0, 0.34.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",30.8
"An object is dropped at time 0.0 with initial position 26.95, 93.06 and initial velocity 0.0, 0.59.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",95.01
"An object is dropped at time 0.0 with initial position 38.88, 28.94 and initial velocity 0.0, -0.68.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",24.54
"An object is dropped at time 0.0 with initial position 50.8, 81.28 and initial velocity 0.0, 0.6.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",82.38
"An object is dropped at time 0.0 with initial position 73.42, 36.3 and initial velocity 0.0, 0.26.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",36.72
"An object is dropped at time 0.0 with initial position 49.09, 81.74 and initial velocity 0.0, -0.47.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",80.03
"An object is dropped at time 0.0 with initial position 44.09, 98.65 and initial velocity 0.0, 0.66.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",99.31
"An object is dropped at time 0.0 with initial position 73.6, 83.58 and initial velocity 0.0, 0.43.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",84.34
"An object is dropped at time 0.0 with initial position 81.16, 14.44 and initial velocity 0.0, -0.76.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",9.64
"An object is dropped at time 0.0 with initial position 86.54, 3.71 and initial velocity 0.0, -0.31.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",2.99
"An object is dropped at time 0.0 with initial position 81.62, 33.52 and initial velocity 0.0, 0.61.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",35.05
"An object is dropped at time 0.0 with initial position 77.6, 54.43 and initial velocity 0.0, 0.08.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",53.41
"An object is dropped at time 0.0 with initial position 41.34, 80.26 and initial velocity 0.0, 0.67.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",82.78
"An object is dropped at time 0.0 with initial position 65.05, 96.15 and initial velocity 0.0, 0.51.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",97.07
"An object is dropped at time 0.0 with initial position 48.12, 19.8 and initial velocity 0.0, -0.93.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",17.84
"An object is dropped at time 0.0 with initial position 47.19, 29.59 and initial velocity 0.0, -0.21.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",29.07
"An object is dropped at time 0.0 with initial position 47.69, 13.36 and initial velocity 0.0, -0.37.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",12.99
"An object is dropped at time 0.0 with initial position 66.55, 10.68 and initial velocity 0.0, 0.73.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",13.33
"An object is dropped at time 0.0 with initial position 27.12, 56.44 and initial velocity 0.0, 0.76.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",58.88
"An object is dropped at time 0.0 with initial position 59.1, 52.75 and initial velocity 0.0, -0.37.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",49.03
"An object is dropped at time 0.0 with initial position 78.38, 82.78 and initial velocity 0.0, -0.97.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",78.3
"An object is dropped at time 0.0 with initial position 71.07, 6.6 and initial velocity 0.0, 0.47.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",7.71
"An object is dropped at time 0.0 with initial position 25.15, 24.96 and initial velocity 0.0, -0.19.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",24.77
"An object is dropped at time 0.0 with initial position 50.25, 35.73 and initial velocity 0.0, 0.35.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",36.33
"An object is dropped at time 0.0 with initial position 24.14, 95.44 and initial velocity 0.0, -0.59.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",90.4
"An object is dropped at time 0.0 with initial position 81.48, 14.72 and initial velocity 0.0, -0.34.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",11.18
"An object is dropped at time 0.0 with initial position 16.86, 64.6 and initial velocity 0.0, 0.78.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",66.64
"An object is dropped at time 0.0 with initial position 58.82, 69.93 and initial velocity 0.0, -0.07.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",69.69
"An object is dropped at time 0.0 with initial position 29.84, 92.35 and initial velocity 0.0, 0.29.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",92.92
"An object is dropped at time 0.0 with initial position 1.85, 5.27 and initial velocity 0.0, 0.47.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",6.38
"An object is dropped at time 0.0 with initial position 68.03, 21.84 and initial velocity 0.0, 0.0.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",20.84
"An object is dropped at time 0.0 with initial position 64.45, 33.5 and initial velocity 0.0, -0.1.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",32.9
"An object is dropped at time 0.0 with initial position 58.4, 39.63 and initial velocity 0.0, 0.1.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",39.13
"An object is dropped at time 0.0 with initial position 8.45, 35.46 and initial velocity 0.0, -0.78.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",34.68
"An object is dropped at time 0.0 with initial position 9.09, 92.69 and initial velocity 0.0, 0.7.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",95.19
"An object is dropped at time 0.0 with initial position 2.98, 51.9 and initial velocity 0.0, 0.68.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",54.48
"An object is dropped at time 0.0 with initial position 81.74, 32.33 and initial velocity 0.0, 0.64.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",34.53
"An object is dropped at time 0.0 with initial position 36.9, 1.59 and initial velocity 0.0, -0.43.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",0.63
"An object is dropped at time 0.0 with initial position 23.0, 21.28 and initial velocity 0.0, 0.49.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",21.77
"An object is dropped at time 0.0 with initial position 47.12, 72.87 and initial velocity 0.0, -0.71.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",71.35
"An object is dropped at time 0.0 with initial position 61.12, 72.27 and initial velocity 0.0, -0.91.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",70.35
"An object is dropped at time 0.0 with initial position 83.49, 28.03 and initial velocity 0.0, -0.25.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",27.78
"An object is dropped at time 0.0 with initial position 23.33, 20.55 and initial velocity 0.0, -0.39.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",18.39
"An object is dropped at time 0.0 with initial position 86.18, 41.23 and initial velocity 0.0, 0.58.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",42.29
"An object is dropped at time 0.0 with initial position 69.1, 63.86 and initial velocity 0.0, -0.67.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",63.19
"An object is dropped at time 0.0 with initial position 98.19, 22.41 and initial velocity 0.0, 0.77.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",25.26
"An object is dropped at time 0.0 with initial position 22.78, 91.62 and initial velocity 0.0, 0.39.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",92.57
"An object is dropped at time 0.0 with initial position 99.21, 32.95 and initial velocity 0.0, 0.04.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",32.51
"An object is dropped at time 0.0 with initial position 81.53, 66.88 and initial velocity 0.0, 0.88.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",70.28
"An object is dropped at time 0.0 with initial position 29.58, 9.15 and initial velocity 0.0, 0.51.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",10.71
"An object is dropped at time 0.0 with initial position 82.63, 54.8 and initial velocity 0.0, 0.93.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",58.45
"An object is dropped at time 0.0 with initial position 67.0, 56.49 and initial velocity 0.0, -0.33.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",53.84
"An object is dropped at time 0.0 with initial position 9.28, 45.26 and initial velocity 0.0, 0.84.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",48.8
"An object is dropped at time 0.0 with initial position 80.83, 51.93 and initial velocity 0.0, 0.84.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",54.69
"An object is dropped at time 0.0 with initial position 31.57, 52.41 and initial velocity 0.0, -0.03.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",52.02
"An object is dropped at time 0.0 with initial position 55.19, 60.84 and initial velocity 0.0, 0.91.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",61.75
"An object is dropped at time 0.0 with initial position 72.23, 27.32 and initial velocity 0.0, 0.4.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",28.22
"An object is dropped at time 0.0 with initial position 26.1, 67.6 and initial velocity 0.0, 0.26.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",67.66
"An object is dropped at time 0.0 with initial position 8.71, 7.69 and initial velocity 0.0, 0.52.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",8.63
"An object is dropped at time 0.0 with initial position 30.93, 3.85 and initial velocity 0.0, 0.23.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",4.0
"An object is dropped at time 0.0 with initial position 6.86, 87.68 and initial velocity 0.0, 0.46.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",88.5
"An object is dropped at time 0.0 with initial position 28.39, 41.36 and initial velocity 0.0, 0.34.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",42.12
"An object is dropped at time 0.0 with initial position 72.48, 38.13 and initial velocity 0.0, 0.81.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",40.77
"An object is dropped at time 0.0 with initial position 32.17, 86.72 and initial velocity 0.0, 0.63.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",88.31
"An object is dropped at time 0.0 with initial position 99.22, 42.8 and initial velocity 0.0, 0.14.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",42.92
"An object is dropped at time 0.0 with initial position 48.9, 2.47 and initial velocity 0.0, 0.19.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",2.42
"An object is dropped at time 0.0 with initial position 14.31, 75.27 and initial velocity 0.0, -0.84.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",68.73
"An object is dropped at time 0.0 with initial position 68.4, 65.56 and initial velocity 0.0, 0.85.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",67.81
"An object is dropped at time 0.0 with initial position 85.81, 28.1 and initial velocity 0.0, 0.16.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",28.26
"An object is dropped at time 0.0 with initial position 63.66, 14.84 and initial velocity 0.0, -0.96.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",13.88
"An object is dropped at time 0.0 with initial position 28.57, 41.74 and initial velocity 0.0, -0.97.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",39.7
"An object is dropped at time 0.0 with initial position 16.47, 58.47 and initial velocity 0.0, 0.55.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",59.82
"An object is dropped at time 0.0 with initial position 44.42, 60.55 and initial velocity 0.0, -0.35.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",58.55
"An object is dropped at time 0.0 with initial position 65.1, 5.49 and initial velocity 0.0, -0.83.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",3.73
"An object is dropped at time 0.0 with initial position 14.14, 99.86 and initial velocity 0.0, -0.53.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",95.18
